"size_bits","prime"
"5","17"
"5","19"
"5","23"
"5","29"
"5","31"
"6","37"
"6","41"
"6","43"
"6","47"
"6","53"
"6","59"
"6","61"
"7","67"
"7","71"
"7","73"
"7","79"
"7","83"
"7","89"
"7","97"
"7","101"
"7","103"
"7","107"
"8","131"
"8","137"
"8","139"
"8","149"
"8","151"
"8","157"
"8","163"
"8","167"
"8","173"
"8","179"
"9","257"
"9","263"
"9","269"
"9","271"
"9","277"
"9","281"
"9","283"
"9","293"
"9","307"
"9","311"
"10","521"
"10","523"
"10","541"
"10","547"
"10","557"
"10","563"
"10","569"
"10","571"
"10","577"
"10","587"
"11","1031"
"11","1033"
"11","1039"
"11","1049"
"11","1051"
"11","1061"
"11","1063"
"11","1069"
"11","1087"
"11","1091"
"12","2053"
"12","2063"
"12","2069"
"12","2081"
"12","2083"
"12","2087"
"12","2089"
"12","2099"
"12","2111"
"12","2113"
"13","4099"
"13","4111"
"13","4127"
"13","4129"
"13","4133"
"13","4139"
"13","4153"
"13","4157"
"13","4159"
"13","4177"
"14","8209"
"14","8219"
"14","8221"
"14","8231"
"14","8233"
"14","8237"
"14","8243"
"14","8263"
"14","8269"
"14","8273"
"15","16411"
"15","16417"
"15","16421"
"15","16427"
"15","16433"
"15","16447"
"15","16451"
"15","16453"
"15","16477"
"15","16481"
"16","32771"
"16","32779"
"16","32783"
"16","32789"
"16","32797"
"16","32801"
"16","32803"
"16","32831"
"16","32833"
"16","32839"
"17","65537"
"17","65539"
"17","65543"
"17","65551"
"17","65557"
"17","65563"
"17","65579"
"17","65581"
"17","65587"
"17","65599"
"18","131101"
"18","131111"
"18","131113"
"18","131129"
"18","131143"
"18","131149"
"18","131171"
"18","131203"
"18","131213"
"18","131221"
"19","262147"
"19","262151"
"19","262153"
"19","262187"
"19","262193"
"19","262217"
"19","262231"
"19","262237"
"19","262253"
"19","262261"
"20","524309"
"20","524341"
"20","524347"
"20","524351"
"20","524353"
"20","524369"
"20","524387"
"20","524389"
"20","524411"
"20","524413"
"21","1048583"
"21","1048589"
"21","1048601"
"21","1048609"
"21","1048613"
"21","1048627"
"21","1048633"
"21","1048661"
"21","1048681"
"21","1048703"
"22","2097169"
"22","2097211"
"22","2097223"
"22","2097229"
"22","2097257"
"22","2097259"
"22","2097287"
"22","2097289"
"22","2097311"
"22","2097317"
"23","4194319"
"23","4194329"
"23","4194353"
"23","4194371"
"23","4194389"
"23","4194397"
"23","4194403"
"23","4194409"
"23","4194419"
"23","4194433"
"24","8388617"
"24","8388619"
"24","8388623"
"24","8388637"
"24","8388673"
"24","8388683"
"24","8388691"
"24","8388697"
"24","8388733"
"24","8388739"
"25","16777259"
"25","16777289"
"25","16777291"
"25","16777331"
"25","16777333"
"25","16777337"
"25","16777381"
"25","16777421"
"25","16777441"
"25","16777447"
"26","33554467"
"26","33554473"
"26","33554501"
"26","33554503"
"26","33554509"
"26","33554519"
"26","33554527"
"26","33554579"
"26","33554581"
"26","33554593"
"27","67108879"
"27","67108913"
"27","67108919"
"27","67108933"
"27","67108957"
"27","67108961"
"27","67108981"
"27","67109023"
"27","67109033"
"27","67109051"
"28","134217757"
"28","134217773"
"28","134217779"
"28","134217781"
"28","134217799"
"28","134217803"
"28","134217823"
"28","134217827"
"28","134217869"
"28","134217877"
"29","268435459"
"29","268435463"
"29","268435493"
"29","268435523"
"29","268435537"
"29","268435561"
"29","268435577"
"29","268435579"
"29","268435597"
"29","268435631"
"30","536870923"
"30","536870951"
"30","536871001"
"30","536871017"
"30","536871019"
"30","536871029"
"30","536871061"
"30","536871089"
"30","536871091"
"30","536871119"
"31","1073741827"
"31","1073741831"
"31","1073741833"
"31","1073741839"
"31","1073741843"
"31","1073741857"
"31","1073741891"
"31","1073741909"
"31","1073741939"
"31","1073741953"
"32","2147483659"
"32","2147483693"
"32","2147483713"
"32","2147483743"
"32","2147483777"
"32","2147483783"
"32","2147483813"
"32","2147483857"
"32","2147483867"
"32","2147483869"
"33","4294967311"
"33","4294967357"
"33","4294967371"
"33","4294967377"
"33","4294967387"
"33","4294967389"
"33","4294967459"
"33","4294967477"
"33","4294967497"
"33","4294967513"
"34","8589934609"
"34","8589934621"
"34","8589934627"
"34","8589934631"
"34","8589934651"
"34","8589934663"
"34","8589934669"
"34","8589934693"
"34","8589934711"
"34","8589934721"
"35","17179869209"
"35","17179869263"
"35","17179869269"
"35","17179869337"
"35","17179869409"
"35","17179869431"
"35","17179869433"
"35","17179869479"
"35","17179869523"
"35","17179869547"
"36","34359738421"
"36","34359738451"
"36","34359738467"
"36","34359738473"
"36","34359738493"
"36","34359738557"
"36","34359738587"
"36","34359738599"
"36","34359738607"
"36","34359738641"
"37","68719476767"
"37","68719476851"
"37","68719476853"
"37","68719476901"
"37","68719476911"
"37","68719476913"
"37","68719476937"
"37","68719476949"
"37","68719476989"
"37","68719476997"
"38","137438953481"
"38","137438953501"
"38","137438953513"
"38","137438953541"
"38","137438953567"
"38","137438953577"
"38","137438953591"
"38","137438953657"
"38","137438953693"
"38","137438953711"
"39","274877906951"
"39","274877906957"
"39","274877907011"
"39","274877907023"
"39","274877907041"
"39","274877907061"
"39","274877907191"
"39","274877907209"
"39","274877907223"
"39","274877907229"
