"size_bits","(x, y)"
"5","[(17, 23), (19, 23), (17, 29), (23, 29), (17, 19), (19, 29), (17, 31), (23, 31), (29, 31), (19, 31)]"
"6","[(43, 53), (47, 53), (47, 59), (43, 59), (37, 41), (47, 61), (41, 61), (53, 61), (43, 61), (37, 43)]"
"7","[(71, 113), (73, 113), (79, 107), (67, 103), (71, 83), (71, 89), (71, 73), (101, 109), (73, 101), (73, 79)]"
"8","[(193, 227), (137, 199), (181, 229), (131, 173), (211, 227), (179, 191), (157, 211), (179, 239), (139, 211), (227, 233)]"
"9","[(457, 467), (283, 367), (409, 449), (283, 389), (449, 503), (337, 359), (421, 461), (269, 503), (269, 313), (331, 397)]"
"10","[(823, 827), (811, 821), (821, 919), (653, 733), (569, 769), (613, 977), (643, 919), (541, 1019), (853, 919), (601, 773)]"
"11","[(1051, 1613), (1951, 1999), (1297, 1723), (1237, 1627), (1747, 1847), (1117, 1709), (1249, 1657), (1433, 1987), (1069, 1187), (1487, 1543)]"
"12","[(2053, 2767), (2251, 3911), (3391, 3929), (2351, 3389), (2693, 3331), (2251, 2531), (2477, 4021), (3701, 3889), (2287, 3163), (2221, 3571)]"
"13","[(5303, 6661), (4421, 6089), (4651, 6577), (4211, 4283), (4421, 8171), (6491, 7069), (4909, 5477), (6421, 7639), (4783, 5503), (6803, 6841)]"
"14","[(12409, 14051), (12689, 14009), (8387, 9221), (8941, 13807), (11833, 15583), (8521, 14851), (14821, 14983), (10729, 12517), (15359, 16267), (9413, 13789)]"
"15","[(18757, 20753), (21661, 23371), (18947, 26737), (18553, 19553), (22159, 24919), (27017, 32537), (21407, 21617), (25219, 31981), (23971, 24697), (18539, 19031)]"
"16","[(47939, 60149), (40289, 48757), (50227, 63467), (34039, 48413), (39901, 59567), (55487, 63703), (35837, 44519), (57667, 61559), (35837, 47431), (56963, 64439)]"
"17","[(91151, 97373), (85903, 113171), (71887, 89797), (71437, 105037), (79631, 82237), (94559, 104597), (83077, 99733), (84317, 105199), (105509, 123887), (76243, 89591)]"
"18","[(132929, 144073), (152783, 187223), (203989, 210823), (165811, 184523), (131489, 237233), (188147, 233777), (176207, 211199), (239879, 249503), (161531, 239557), (213481, 222533)]"
"19","[(305093, 368447), (267893, 294803), (279479, 287117), (263209, 320239), (373207, 378523), (299777, 381761), (310987, 375019), (316819, 340927), (335473, 376081), (316777, 357281)]"
"20","[(581701, 640249), (558203, 614849), (606059, 628591), (540769, 542923), (548083, 573761), (600073, 631859), (543713, 655859), (535033, 649069), (554233, 587621), (535751, 609589)]"
"21","[(1061699, 1138679), (1128151, 1175353), (1115399, 1185721), (1052537, 1054853), (1058753, 1184609), (1069129, 1132679), (1076717, 1163111), (1061189, 1082093), (1113899, 1145747), (1132643, 1172537)]"
"22","[(2166547, 2223047), (2143517, 2213473), (2129977, 2133601), (2115703, 2231809), (2107627, 2121767), (2150101, 2180033), (2131319, 2187583), (2102797, 2242549), (2161121, 2162323), (2211373, 2226421)]"
"23","[(4205393, 4304371), (4258967, 4282711), (4285339, 4333129), (4245623, 4288847), (4227317, 4259461), (4260323, 4295927), (4205713, 4210139), (4201861, 4336019), (4243819, 4305121), (4200307, 4232743)]"
"24","[(8411761, 8498401), (8417063, 8515277), (8465297, 8475319), (8464591, 8488091), (8462147, 8499971), (8424067, 8534329), (8461279, 8534429), (8429341, 8448313), (8428201, 8463827), (8402041, 8408039)]"
"25","[(16785631, 16912619), (16799141, 16849403), (16868323, 16938821), (16824923, 16884823), (16793713, 16891379), (16866221, 16876879), (16779211, 16910897), (16847923, 16903591), (16911563, 16922471), (16897999, 16933381)]"
"26","[(33716383, 33722831), (33588943, 33610363), (33599659, 33600713), (33583727, 33651781), (33662411, 33725143), (33572447, 33688937), (33615961, 33696877), (33644971, 33715783), (33588631, 33671879), (33555449, 33696389)]"
"27","[(67155769, 67285433), (67110661, 67168391), (67164247, 67241051), (67171493, 67182463), (67126393, 67177211), (67155223, 67275469), (67185353, 67233911), (67280671, 67287433), (67213961, 67265083), (67113121, 67171939)]"
"28","[(134250629, 134276501), (134318497, 134337991), (134224381, 134331179), (134277217, 134367743), (134257031, 134286161), (134303677, 134325229), (134351263, 134374673), (134242583, 134299073), (134278273, 134378437), (134285819, 134363107)]"
"29","[(268520059, 268605137), (268524307, 268557083), (268454603, 268589551), (268564927, 268576807), (268458493, 268621673), (268537333, 268582183), (268457963, 268528451), (268542037, 268556749), (268477067, 268613083), (268545479, 268553827)]"
"30","[(536965369, 536975189), (536902643, 537031553), (536965577, 537026467), (536898247, 536972641), (537017093, 537043453), (536999633, 537026587), (536881999, 536967793), (536958371, 536993927), (536947009, 537048233), (537022259, 537062677)]"
