"size_bits","prime"
"5","17"
"5","19"
"5","23"
"5","29"
"5","31"
"6","37"
"6","41"
"6","43"
"6","47"
"6","53"
"6","59"
"6","61"
"7","67"
"7","71"
"7","73"
"7","79"
"7","83"
"7","89"
"7","97"
"7","101"
"7","103"
"7","107"
"7","109"
"7","113"
"7","127"
"8","131"
"8","137"
"8","139"
"8","149"
"8","151"
"8","157"
"8","163"
"8","167"
"8","173"
"8","179"
"8","181"
"8","191"
"8","193"
"8","197"
"8","199"
"8","211"
"8","223"
"8","227"
"8","229"
"8","233"
"8","239"
"8","241"
"8","251"
"9","257"
"9","263"
"9","269"
"9","271"
"9","277"
"9","281"
"9","283"
"9","293"
"9","307"
"9","311"
"9","313"
"9","317"
"9","331"
"9","337"
"9","347"
"9","349"
"9","353"
"9","359"
"9","367"
"9","373"
"9","379"
"9","383"
"9","389"
"9","397"
"9","401"
"9","409"
"9","419"
"9","421"
"9","431"
"9","433"
"9","439"
"9","443"
"9","449"
"9","457"
"9","461"
"9","463"
"9","467"
"9","479"
"9","487"
"9","491"
"9","499"
"9","503"
"9","509"
"10","521"
"10","523"
"10","541"
"10","547"
"10","557"
"10","563"
"10","569"
"10","571"
"10","577"
"10","587"
"10","593"
"10","599"
"10","601"
"10","607"
"10","613"
"10","617"
"10","619"
"10","631"
"10","641"
"10","643"
"10","647"
"10","653"
"10","659"
"10","661"
"10","673"
"10","677"
"10","683"
"10","691"
"10","701"
"10","709"
"10","719"
"10","727"
"10","733"
"10","739"
"10","743"
"10","751"
"10","757"
"10","761"
"10","769"
"10","773"
"10","787"
"10","797"
"10","809"
"10","811"
"10","821"
"10","823"
"10","827"
"10","829"
"10","839"
"10","853"
"10","857"
"10","859"
"10","863"
"10","877"
"10","881"
"10","883"
"10","887"
"10","907"
"10","911"
"10","919"
"10","929"
"10","937"
"10","941"
"10","947"
"10","953"
"10","967"
"10","971"
"10","977"
"10","983"
"10","991"
"10","997"
"10","1009"
"10","1013"
"10","1019"
"10","1021"
"11","1031"
"11","1033"
"11","1039"
"11","1049"
"11","1051"
"11","1061"
"11","1063"
"11","1069"
"11","1087"
"11","1091"
"11","1093"
"11","1097"
"11","1103"
"11","1109"
"11","1117"
"11","1123"
"11","1129"
"11","1151"
"11","1153"
"11","1163"
"11","1171"
"11","1181"
"11","1187"
"11","1193"
"11","1201"
"11","1213"
"11","1217"
"11","1223"
"11","1229"
"11","1231"
"11","1237"
"11","1249"
"11","1259"
"11","1277"
"11","1279"
"11","1283"
"11","1289"
"11","1291"
"11","1297"
"11","1301"
"11","1303"
"11","1307"
"11","1319"
"11","1321"
"11","1327"
"11","1361"
"11","1367"
"11","1373"
"11","1381"
"11","1399"
"11","1409"
"11","1423"
"11","1427"
"11","1429"
"11","1433"
"11","1439"
"11","1447"
"11","1451"
"11","1453"
"11","1459"
"11","1471"
"11","1481"
"11","1483"
"11","1487"
"11","1489"
"11","1493"
"11","1499"
"11","1511"
"11","1523"
"11","1531"
"11","1543"
"11","1549"
"11","1553"
"11","1559"
"11","1567"
"11","1571"
"11","1579"
"11","1583"
"11","1597"
"11","1601"
"11","1607"
"11","1609"
"11","1613"
"11","1619"
"11","1621"
"11","1627"
"11","1637"
"11","1657"
"11","1663"
"11","1667"
"11","1669"
"11","1693"
"11","1697"
"11","1699"
"11","1709"
"11","1721"
"11","1723"
"11","1733"
"11","1741"
"11","1747"
"11","1753"
"11","1759"
"11","1777"
"11","1783"
"11","1787"
"11","1789"
"11","1801"
"11","1811"
"11","1823"
"11","1831"
"11","1847"
"11","1861"
"11","1867"
"11","1871"
"11","1873"
"11","1877"
"11","1879"
"11","1889"
"11","1901"
"11","1907"
"11","1913"
"11","1931"
"11","1933"
"11","1949"
"11","1951"
"11","1973"
"11","1979"
"11","1987"
"11","1993"
"11","1997"
"11","1999"
"11","2003"
"11","2011"
"11","2017"
"11","2027"
"11","2029"
"11","2039"
"12","2053"
"12","2063"
"12","2069"
"12","2081"
"12","2083"
"12","2087"
"12","2089"
"12","2099"
"12","2111"
"12","2113"
"12","2129"
"12","2131"
"12","2137"
"12","2141"
"12","2143"
"12","2153"
"12","2161"
"12","2179"
"12","2203"
"12","2207"
"12","2213"
"12","2221"
"12","2237"
"12","2239"
"12","2243"
"12","2251"
"12","2267"
"12","2269"
"12","2273"
"12","2281"
"12","2287"
"12","2293"
"12","2297"
"12","2309"
"12","2311"
"12","2333"
"12","2339"
"12","2341"
"12","2347"
"12","2351"
"12","2357"
"12","2371"
"12","2377"
"12","2381"
"12","2383"
"12","2389"
"12","2393"
"12","2399"
"12","2411"
"12","2417"
"12","2423"
"12","2437"
"12","2441"
"12","2447"
"12","2459"
"12","2467"
"12","2473"
"12","2477"
"12","2503"
"12","2521"
"12","2531"
"12","2539"
"12","2543"
"12","2549"
"12","2551"
"12","2557"
"12","2579"
"12","2591"
"12","2593"
"12","2609"
"12","2617"
"12","2621"
"12","2633"
"12","2647"
"12","2657"
"12","2659"
"12","2663"
"12","2671"
"12","2677"
"12","2683"
"12","2687"
"12","2689"
"12","2693"
"12","2699"
"12","2707"
"12","2711"
"12","2713"
"12","2719"
"12","2729"
"12","2731"
"12","2741"
"12","2749"
"12","2753"
"12","2767"
"12","2777"
"12","2789"
"12","2791"
"12","2797"
"12","2801"
"12","2803"
"12","2819"
"12","2833"
"12","2837"
"12","2843"
"12","2851"
"12","2857"
"12","2861"
"12","2879"
"12","2887"
"12","2897"
"12","2903"
"12","2909"
"12","2917"
"12","2927"
"12","2939"
"12","2953"
"12","2957"
"12","2963"
"12","2969"
"12","2971"
"12","2999"
"12","3001"
"12","3011"
"12","3019"
"12","3023"
"12","3037"
"12","3041"
"12","3049"
"12","3061"
"12","3067"
"12","3079"
"12","3083"
"12","3089"
"12","3109"
"12","3119"
"12","3121"
"12","3137"
"12","3163"
"12","3167"
"12","3169"
"12","3181"
"12","3187"
"12","3191"
"12","3203"
"12","3209"
"12","3217"
"12","3221"
"12","3229"
"12","3251"
"12","3253"
"12","3257"
"12","3259"
"12","3271"
"12","3299"
"12","3301"
"12","3307"
"12","3313"
"12","3319"
"12","3323"
"12","3329"
"12","3331"
"12","3343"
"12","3347"
"12","3359"
"12","3361"
"12","3371"
"12","3373"
"12","3389"
"12","3391"
"12","3407"
"12","3413"
"12","3433"
"12","3449"
"12","3457"
"12","3461"
"12","3463"
"12","3467"
"12","3469"
"12","3491"
"12","3499"
"12","3511"
"12","3517"
"12","3527"
"12","3529"
"12","3533"
"12","3539"
"12","3541"
"12","3547"
"12","3557"
"12","3559"
"12","3571"
"12","3581"
"12","3583"
"12","3593"
"12","3607"
"12","3613"
"12","3617"
"12","3623"
"12","3631"
"12","3637"
"12","3643"
"12","3659"
"12","3671"
"12","3673"
"12","3677"
"12","3691"
"12","3697"
"12","3701"
"12","3709"
"12","3719"
"12","3727"
"12","3733"
"12","3739"
"12","3761"
"12","3767"
"12","3769"
"12","3779"
"12","3793"
"12","3797"
"12","3803"
"12","3821"
"12","3823"
"12","3833"
"12","3847"
"12","3851"
"12","3853"
"12","3863"
"12","3877"
"12","3881"
"12","3889"
"12","3907"
"12","3911"
"12","3917"
"12","3919"
"12","3923"
"12","3929"
"12","3931"
"12","3943"
"12","3947"
"12","3967"
"12","3989"
"12","4001"
"12","4003"
"12","4007"
"12","4013"
"12","4019"
"12","4021"
"12","4027"
"12","4049"
"12","4051"
"12","4057"
"12","4073"
"12","4079"
"12","4091"
"12","4093"
"13","4099"
"13","4111"
"13","4127"
"13","4129"
"13","4133"
"13","4139"
"13","4153"
"13","4157"
"13","4159"
"13","4177"
"13","4201"
"13","4211"
"13","4217"
"13","4219"
"13","4229"
"13","4231"
"13","4241"
