"size_bits","(x, y)"
"5","[(17, 23), (23, 29), (19, 29), (17, 31), (19, 31)]"
"6","[(47, 53), (53, 59), (41, 61), (47, 61), (53, 61)]"
"7","[(97, 127), (73, 107), (83, 103), (97, 109), (83, 127)]"
"8","[(137, 181), (167, 191), (211, 251), (163, 223), (149, 197)]"
"9","[(257, 409), (389, 433), (313, 397), (313, 461), (397, 431)]"
"10","[(613, 761), (821, 863), (691, 857), (643, 761), (571, 953)]"
"11","[(1361, 1549), (1489, 1693), (1061, 1831), (1907, 1997), (1303, 1669)]"
"12","[(2803, 3067), (2927, 3251), (2557, 3967), (2777, 2887), (2447, 2819)]"
"13","[(6703, 7561), (4591, 8147), (5419, 7823), (5881, 6917), (6389, 7723)]"
"14","[(10177, 16231), (12203, 13841), (11057, 11813), (8467, 9689), (11399, 16231)]"
"15","[(20563, 25261), (19463, 25349), (19447, 29063), (21503, 26479), (19141, 21487)]"
"16","[(51137, 61231), (34883, 49081), (36073, 44249), (43577, 49451), (34807, 45083)]"
"17","[(93187, 94261), (86573, 106453), (108013, 130343), (82699, 104959), (85037, 125821)]"
"18","[(147311, 252209), (192391, 219787), (157103, 196543), (200723, 246371), (174329, 231109)]"
"19","[(318271, 338659), (293599, 329551), (267887, 352637), (282089, 387071), (291877, 360457)]"
"20","[(525391, 528043), (601247, 616307), (587773, 613337), (530447, 616741), (569021, 588361)]"
"21","[(1070827, 1096541), (1120459, 1159541), (1112467, 1165301), (1085017, 1128691), (1126579, 1181723)]"
"22","[(2175661, 2230483), (2183387, 2219527), (2118049, 2148149), (2174593, 2193881), (2112511, 2171623)]"
"23","[(4206511, 4327963), (4205437, 4243297), (4316539, 4332047), (4223393, 4237963), (4225007, 4241129)]"
"24","[(8390497, 8466919), (8397283, 8473919), (8440799, 8502677), (8401559, 8410471), (8456797, 8514203)]"
"25","[(16885019, 16935293), (16804003, 16850749), (16804163, 16857647), (16806277, 16932329), (16914593, 16940123)]"
"26","[(33636923, 33709583), (33622219, 33699707), (33628169, 33633793), (33576863, 33619801), (33671749, 33687517)]"
"27","[(67164017, 67191689), (67216361, 67239517), (67251053, 67261603), (67257907, 67270759), (67188073, 67189103)]"
"28","[(134330213, 134379353), (134260793, 134282251), (134318117, 134355997), (134321749, 134358883), (134300879, 134358593)]"
"29","[(268453873, 268562971), (268511791, 268570157), (268441559, 268602911), (268515551, 268596199), (268520573, 268581953)]"
"30","[(536918761, 537009439), (536877457, 536900227), (537002959, 537025193), (536903317, 536983373), (536911399, 537026779)]"
